gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
TIE1,-0.011757797787474869,9.667930953342434,-0.29153751129582683,0.7710438463234814,0.8815160066009271,-6.246595303170694
MLH1,0.01304676386535959,9.448940921467104,0.29064651768843297,0.77172394481741,0.8815160066009271,-6.158523517261529
IL17B,0.016084334636775492,9.628754705999853,0.2903515170181034,0.7719491589228394,0.8815160066009271,-6.223789968228351
UBB,0.018618242144540647,9.604877740788801,0.29016210415633403,0.7720937737365516,0.8815160066009271,-6.211184569378105
IL22,0.013080695948235596,9.47557911303516,0.28989106525111197,0.7723007231205453,0.8815160066009271,-6.173396118469358
CXCL6,-0.01775643490630478,9.423547664643264,-0.2888629278573036,0.7730858970489214,0.8815160066009271,-6.122196541242529
LDHB,0.014959767208178586,9.520915524989913,0.28862429521593475,0.7732681709885887,0.8815160066009271,-6.198395830194768
ATF1,-0.013656090558669174,9.372805933896096,-0.2872870351511456,0.7742898391417486,0.8821269434638743,-6.1195145789436785
ACOT12,-0.01112933215210105,9.51214311483657,-0.2855227207383742,0.7756383813398559,0.883109279318607,-6.182536787382903
FGF6,-0.012403711400148747,9.476126289660883,-0.28459991674175616,0.7763439931009379,0.8833588292426713,-6.179796849812494
PIK3R3,0.012250215222364892,9.478237751509933,0.2838941351807955,0.7768837869625626,0.8834195097833523,-6.176988124350118
TNFRSF25,-0.015217520411905642,9.684790130223528,-0.2828289970270039,0.7776986288979472,0.8835589546613871,-6.259817555717757
KIT,-0.01132242925949569,9.506257589175862,-0.2818785864866261,0.7784259115643201,0.8835589546613871,-6.1919396772891355
PTGDR2,0.012030346589022509,9.477315455719188,0.2818261550968352,0.7784660393492397,0.8835589546613871,-6.163340999840082
CES3,-0.014044882901980643,9.51064593815052,-0.2798691762817722,0.7799642172825977,0.8843947494937722,-6.198634400630138
MCM7,0.01200490238082182,9.519517187207015,0.27959206894193284,0.78017642548955,0.8843947494937722,-6.171930255721047
RPLP0,-0.02324588939101771,9.617692318113809,-0.2773491517961138,0.7818946541666093,0.885789577022185,-6.209028597917367
IHH,0.010364116824656721,9.48474042062334,0.2694294816379197,0.7879702171577367,0.8916624473722928,-6.1632934010246805
UQCRQ,0.01347944912352416,9.491004771431799,0.26876908722272336,0.7884774324800174,0.8916624473722928,-6.18413010950122
REN,0.011449073581047074,9.515112529344444,0.2686723984559159,0.7885517018061136,0.8916624473722928,-6.190176963464266
MAVS,0.012114099159023029,9.548622175837945,0.2657151512302517,0.7908241801110334,0.8933259686338642,-6.220197714281563
EPOR,-0.013467396498685998,9.51078584722598,-0.26547774103670496,0.7910066946934216,0.8933259686338642,-6.169991994396001
FPR3,-0.011669129881617809,9.50837310822234,-0.26447211883598,0.7917799182811621,0.8936434627710319,-6.210037075337155
SERINC3,0.010708116995208952,9.499674894802107,0.2616066371894845,0.793984321586504,0.8954316772784007,-6.190873771218814
CCNA1,-0.011513095056557765,9.469064379901738,-0.2606718227547891,0.794703831171246,0.8954316772784007,-6.150601717452639
REPS1,0.011544317888991556,9.450481608813906,0.2599542192206707,0.7952562772358873,0.8954316772784007,-6.155321199764949
HERC6,0.011207447926068809,9.500959240337778,0.2598498733007229,0.7953366164372578,0.8954316772784007,-6.1884570972484685
NDUFB8,-0.010881552032751273,9.542961695645278,-0.2579352472735527,0.7968111354132755,0.8965359491391005,-6.191753994218964
TLX1,0.011486843039594156,9.492426792384732,0.25612274869236246,0.7982076779466911,0.8975511722298397,-6.1658110213701605
NRDE2,-0.011351370875679808,9.506747696763437,-0.2543940773445341,0.7995402390202113,0.8979487026664424,-6.182532183340592
IFIH1,0.011894779315830167,9.511710237330519,0.2543812375678091,0.7995501388830603,0.8979487026664424,-6.214012238959089
ACSF3,-0.011449390868706926,9.48576533611416,-0.2514203924205656,0.8018339072844384,0.8995314451987007,-6.201141403546246
IL19,-0.010423591802738047,9.51523697757015,-0.25126979103507885,0.801950115515802,0.8995314451987007,-6.217972227359707
S100B,-0.010791624950455249,9.499917106469333,-0.24979858048363252,0.8030855750087051,0.9002490149480299,-6.215028804648719
F13A1,0.011332675690770167,9.4606451101743545,0.24836959790014576,0.8041888456441867,0.9009296383034195,-6.177626361172738
AIRE,-0.009928408268404857,9.48431184316318,-0.2451207431275792,0.8066986431377372,0.9031482861555973,-6.159024363941702
MBNL3,-0.010959170641124848,9.481533535625495,-0.24451875102012513,0.8071639143339946,0.9031482861555973,-6.192471869389166
HK1,0.014968540178927278,9.672918045584423,0.24303889418093785,0.8083079674172099,0.90387147095422,-6.246192453327356
HK2,-0.010244176072652066,9.459125305224008,-0.23888776058292466,0.811519343346355,0.9069040784719882,-6.171545300886888
ITGA3,0.010893346591096992,9.49974708481716,0.23786719567273054,0.8123093599068333,0.9072286578049257,-6.1803338129375005
