gene_symbol,sample,norm_exp
C7,S18-6943,2.7916976650293894
CASP1,NMS22-13453,2.5439563542655885
CASP1,NMS22-28934,2.302958318764626
CASP1,NMS23-1947,2.253991862812171
CASP1,NMS23-471,2.502645577977924
CASP1,S08-25548,2.253410704790367
CASP1,S10-479,2.283391697297128
CASP1,S14-11208,2.1741470650970305
CASP1,S14-9996,2.3418300569205104
CASP1,S15-16380,2.071550639366932
CASP1,S17-4703,2.116375261179705
CASP1,S18-6943,2.3966700136885106
CASP3,NMS22-13453,2.517235497465091
CASP3,NMS22-28934,2.560814941197052
CASP3,NMS23-1947,2.054842779228683
CASP3,NMS23-471,2.3901929950289134
CASP3,S08-25548,2.522718026587241
CASP3,S10-479,2.2641800750358305
CASP3,S14-11208,2.053539396452824
CASP3,S14-9996,2.3775248006737018
CASP3,S15-16380,2.102605194126567
CASP3,S17-4703,2.4383366232638446
CASP3,S18-6943,2.2543305128653475
CASP8,NMS22-13453,2.279598509904568
CASP8,NMS22-28934,2.269699697384373
